Date,weighted_positive_score,weighted_neutral_score,weighted_negative_score,total,is_missing_value,Open,High,Low,Close,Adj Close,Volume,market_value
2021-02-05,0.2993471542061866,0.6027283127170935,0.0979245330767199,7705495.0,0,1594.7933349609375,1756.510986328125,1594.7933349609375,1718.65087890625,1718.65087890625,40108628454,1656.7221069335938
2021-02-06,0.3588407460704414,0.5657350828342242,0.0754241710953343,16580043.0,0,1717.7974853515625,1738.314453125,1649.0687255859375,1677.8468017578125,1677.8468017578125,39873420648,1697.8221435546875
2021-02-07,0.3789463517827564,0.3959089705044227,0.2251446777128208,12031397.0,0,1677.605712890625,1690.03662109375,1501.750244140625,1614.227783203125,1614.227783203125,39889440151,1645.916748046875
2021-02-08,0.5093237270841847,0.3908790542917623,0.0997972186240529,48100078.0,0,1613.6422119140625,1770.5908203125,1571.5799560546875,1746.6168212890625,1746.6168212890625,48012285956,1680.1295166015625
2021-02-09,0.5714241161093832,0.2775345706884237,0.1510413132021932,31872015.0,0,1746.9261474609375,1815.963623046875,1711.62060546875,1768.0350341796875,1768.0350341796875,44180727529,1757.4805908203125
2021-02-10,0.5382057350550525,0.3394759095297935,0.1223183554151539,19512280.0,0,1768.039794921875,1826.69677734375,1686.5423583984375,1744.243408203125,1744.243408203125,41916084617,1756.1416015625
2021-02-11,0.2908283745674961,0.4501746057943454,0.2374212692553625,72051515.5,1,1743.7142333984375,1806.5390625,1708.67919921875,1783.7979736328125,1783.7979736328125,36021495262,1763.756103515625
2021-02-12,0.2908283745674961,0.4501746057943454,0.2374212692553625,72051515.5,1,1783.4891357421875,1861.35693359375,1744.1689453125,1843.5325927734375,1843.5325927734375,37905036865,1813.5108642578125
2021-02-13,0.2427629256137293,0.670931322599259,0.0863057517870116,18395935.0,0,1843.98681640625,1871.603515625,1770.612060546875,1814.10986328125,1814.10986328125,35359490535,1829.04833984375
2021-02-14,0.2953215352714633,0.5261537491520789,0.1785247155764577,15828419.0,0,1814.372314453125,1848.154052734375,1789.9141845703125,1805.0841064453125,1805.0841064453125,31439114900,1809.7282104492188
2021-02-15,0.3332703108363914,0.4382588481563594,0.2284708410072491,14835972.0,0,1804.6767578125,1833.83056640625,1683.9066162109375,1779.791015625,1779.791015625,38955610883,1792.23388671875
2021-02-16,0.2908283745674961,0.4501746057943454,0.2374212692553625,72051515.5,1,1778.945556640625,1824.5186767578125,1729.6419677734375,1781.0675048828125,1781.0675048828125,34269369268,1780.0065307617188
2021-02-17,0.2908283745674961,0.4501746057943454,0.2374212692553625,72051515.5,1,1781.35009765625,1853.6676025390625,1736.705810546875,1848.458251953125,1848.458251953125,35955412703,1814.9041748046875
2021-02-18,0.4835535538851903,0.3989673636534872,0.1174790824613224,15061643.0,0,1848.206298828125,1949.9034423828125,1848.206298828125,1937.44921875,1937.44921875,28255902969,1892.8277587890625
2021-02-19,0.455082787808822,0.4208270645082703,0.1240901476829076,26450996.0,0,1938.85986328125,1969.5469970703125,1896.6844482421875,1960.164794921875,1960.164794921875,26268814253,1949.5123291015625
2021-02-20,0.2908283745674961,0.4501746057943454,0.2374212692553625,72051515.5,1,1959.9029541015625,2036.2864990234375,1830.531494140625,1919.5340576171875,1919.5340576171875,34696091102,1939.718505859375
