Date,weighted_positive_score,weighted_neutral_score,weighted_negative_score,total,is_missing_value,Open,High,Low,Close,Adj Close,Volume,market_value
2021-02-05,0.2993471542061866,0.6027283127170935,0.0979245330767199,7705495.0,0,56.01080322265625,68.46395874023438,56.01080322265625,67.84556579589844,67.84556579589844,1431595319,61.928184509277344
2021-02-06,0.3588407460704414,0.5657350828342242,0.0754241710953343,16580043.0,0,67.8546371459961,75.4018783569336,62.208126068115234,72.73359680175781,72.73359680175781,2114553792,70.29411697387695
2021-02-07,0.3789463517827564,0.3959089705044227,0.2251446777128208,12031397.0,0,72.86821746826172,74.612548828125,64.49789428710938,68.59052276611328,68.59052276611328,1493688265,70.7293701171875
2021-02-08,0.5093237270841847,0.3908790542917623,0.0997972186240529,48100078.0,0,68.52555847167969,79.83154296875,67.85923767089844,79.83154296875,79.83154296875,2133574291,74.17855072021484
2021-02-09,0.5714241161093832,0.2775345706884237,0.1510413132021932,31872015.0,0,79.80702209472656,115.13184356689453,78.44632720947266,107.89927673339844,107.89927673339844,4425849540,93.8531494140625
2021-02-10,0.5382057350550525,0.3394759095297935,0.1223183554151539,19512280.0,0,107.70855712890625,148.07476806640625,107.70855712890625,129.73715209960938,129.73715209960938,7000323240,118.72285461425781
2021-02-11,0.2908283745674961,0.4501746057943454,0.2374212692553625,72051515.5,1,129.30523681640625,131.5356903076172,119.09626007080078,124.43425750732422,124.43425750732422,2809765027,126.86974716186523
2021-02-12,0.2908283745674961,0.4501746057943454,0.2374212692553625,72051515.5,1,124.15943145751953,140.2431640625,121.72706604003906,136.94839477539062,136.94839477539062,2981627650,130.55391311645508
2021-02-13,0.2427629256137293,0.670931322599259,0.0863057517870116,18395935.0,0,136.92799377441406,138.4705352783203,125.72859954833984,133.4526824951172,133.4526824951172,2116751635,135.19033813476562
2021-02-14,0.2953215352714633,0.5261537491520789,0.1785247155764577,15828419.0,0,133.47377014160156,138.7567596435547,128.73171997070312,136.426513671875,136.426513671875,2312597445,134.95014190673828
2021-02-15,0.3332703108363914,0.4382588481563594,0.2284708410072491,14835972.0,0,136.2767791748047,139.21975708007812,119.7349853515625,129.56788635253906,129.56788635253906,2414986848,132.92233276367188
