Date,weighted_positive_score,weighted_neutral_score,weighted_negative_score,total,is_missing_value,Open,High,Low,Close,Adj Close,Volume,market_value
2021-02-05,0.2993471542061866,0.6027283127170935,0.0979245330767199,7705495.0,0,36931.546875,38225.90625,36658.76171875,38144.30859375,38144.30859375,58598066402,37537.927734375
2021-02-06,0.3588407460704414,0.5657350828342242,0.0754241710953343,16580043.0,0,38138.38671875,40846.546875,38138.38671875,39266.01171875,39266.01171875,71326033653,38702.19921875
2021-02-07,0.3789463517827564,0.3959089705044227,0.2251446777128208,12031397.0,0,39250.19140625,39621.8359375,37446.15234375,38903.44140625,38903.44140625,65500641143,39076.81640625
2021-02-08,0.5093237270841847,0.3908790542917623,0.0997972186240529,48100078.0,0,38886.828125,46203.9296875,38076.32421875,46196.46484375,46196.46484375,101467222687,42541.646484375
2021-02-09,0.5714241161093832,0.2775345706884237,0.1510413132021932,31872015.0,0,46184.9921875,48003.72265625,45166.9609375,46481.10546875,46481.10546875,91809846886,46333.048828125
2021-02-10,0.5382057350550525,0.3394759095297935,0.1223183554151539,19512280.0,0,46469.76171875,47145.56640625,43881.15234375,44918.18359375,44918.18359375,87301089896,45693.97265625
2021-02-11,0.2908283745674961,0.4501746057943454,0.2374212692553625,72051515.5,1,44898.7109375,48463.46875,44187.76171875,47909.33203125,47909.33203125,81388911810,46404.021484375
2021-02-12,0.2908283745674961,0.4501746057943454,0.2374212692553625,72051515.5,1,47877.03515625,48745.734375,46424.9765625,47504.8515625,47504.8515625,76555041196,47690.943359375
2021-02-13,0.2427629256137293,0.670931322599259,0.0863057517870116,18395935.0,0,47491.203125,48047.74609375,46392.28125,47105.515625,47105.515625,70250456155,47298.359375
2021-02-14,0.2953215352714633,0.5261537491520789,0.1785247155764577,15828419.0,0,47114.5078125,49487.640625,47114.5078125,48717.2890625,48717.2890625,71248675228,47915.8984375
