,0
0,0.17323061517410457
1,0.2576267542143085
2,0.26346243113042267
3,0.24509818388771026
4,0.23757666966686175
5,0.25344606130602465
6,0.1393646474348218
7,0.14443031479752833
8,0.19648585562902748
9,0.2030837329471029
10,0.19591785264423298
11,0.20477997720542362
12,0.20029104261102834
13,0.15467527175823687
14,0.11422015542602429
15,0.08773227773554065
16,0.017629192982514655
17,0.019182177471279947
18,0.11892631133687703
19,0.14718531426162756
20,0.20042101394802578
21,0.32884048858194004
22,0.39801122391317256
23,0.4583589094680035
24,0.5489470993140222
25,0.5339120659603976
26,0.5329222159651786
27,0.6036219618984959
28,0.6505493570824198
29,0.6034221535433472
30,0.6112374186126042
31,0.7026941734435799
32,0.7564309694339226
33,0.8244467323699756
34,0.8800858061403644
35,0.9374189958046644
36,0.989151140301442
37,1.0157051618290016
38,0.9870384780729213
39,0.9336327620415753
40,0.8504134391771331
41,0.7712731639286409
42,0.8346341802850081
43,0.8669052960396955
44,0.8497272242047609
45,0.8424282707740567
46,0.8101008469565021
47,0.7921710811624242
48,0.8582270234835505
49,0.9301067027501486
50,0.9730598640256243
51,0.9816551358968956
52,1.011166907490637
53,1.0363577838662548
54,1.0444440492982467
55,1.1129457093015698
56,1.1334334426015444
57,1.1313159697113835
58,1.1557878164431519
59,1.1453687006275635
60,1.175192410048246
61,1.2202840720414052
62,1.191689684842858
63,1.2250839665712738
64,1.2043383600956186
65,1.150167120005536
66,1.1678762866670758
67,1.1602290489685156
68,1.1168681745085927
69,1.0731067618233028
70,1.0332221624120184
71,0.8688875061024766
72,0.7096984434938276
73,0.7014400162628976
74,0.5357917733761781
75,0.3983049563849952
76,0.5123855157629357
77,0.6874190534182226
78,0.7463803167122858
79,0.7707680792795509
80,0.6744316357876348
81,0.5394901070161832
82,0.5318701034201402
83,0.647122598391469
84,0.7253109172361123
85,0.7705021034954622
86,0.8776757892105496
87,0.8603003643838534
88,0.7576719638112723
89,0.7701107973492857
90,0.7382732916789988
91,0.6801472942319431
92,0.6960846751621823
93,0.735902234855697
94,0.672483162853341
95,0.6348235325915814
96,0.7003481815698074
97,0.7992853415830248
98,0.8463562645399658
99,0.754289456033423
100,0.6913656647422245
101,0.6297523654768478
102,0.5489890641539661
103,0.5412996631124629
104,0.41486699668240945
105,0.2210804373237891
106,0.28407536426486846
107,0.40277839457547715
108,0.3194001358892363
109,0.23681540325017944
110,0.2920043813864183
111,0.3914277407092534
112,0.4571289548015391
113,0.5183452562325599
114,0.46074699589859824
115,0.39795982217305953
116,0.44890848035737574
117,0.524891983383641
118,0.5131257146051511
119,0.5146896076935263
120,0.5639275503038429
121,0.5016297281617337
122,0.4592581698350795
123,0.4666017089720925
124,0.47105825357520237
125,0.45776504542017404
126,0.40143191430912467
127,0.3849197313680549
128,0.37199711979779104
129,0.35474671080475817
130,0.33023259844885133
131,0.33437383346443345
132,0.28592940303194403
133,0.20446246430539125
134,0.26425005803996393
135,0.4002134317648105
136,0.45523832571619904
137,0.5240929678644024
138,0.5626597417936827
139,0.6120153443114276
140,0.6865573127680606
141,0.7383509614741043
142,0.7592340009018409
143,0.8165612084340985
144,0.869180793133004
145,0.8704421370570243
146,0.8556590246652287
147,0.8191355332507926
148,0.8459314524457124
149,0.9239434851570949
150,0.9769486669190576
151,1.058085459916631
152,1.0773104976423125
153,1.0902475109345904
154,1.1415337573860438
155,1.1691854990176709
156,1.1626672614682494
157,1.2082570377647919
158,1.2610104269155746
159,1.2575228059964252
160,1.24680147088591
161,1.1944869505539002
162,1.1609316372319232
163,1.2106598148815175
164,1.3033601039567642
165,1.3319199768588588
166,1.3247377229892539
167,1.3646235026631455
168,1.3615078691818068
169,1.3515136861903625
170,1.344641830341853
171,1.3430639696345148
172,1.3723897992085128
173,1.3600173937725635
174,1.3319054284290834
175,1.3282250133676463
176,1.39736386468002
177,1.4426916038491957
178,1.4557346458668095
179,1.4721275343785387
180,1.491090101878096
181,1.5082968332173547
182,1.403134469356253
183,1.2807426051973119
184,1.2678168354928794
185,1.2409657535980456
186,1.2081089034737558
187,1.2435372404842089
188,1.238145660234581
189,1.2456738285344522
190,1.3141620209653175
191,1.3343189708696461
192,1.2971133864746762
193,1.2812649794705777
194,1.2776411257789313
195,1.164868454923529
196,1.0079170641608144
197,1.0360973559872289
198,1.1412796526082967
199,1.1023989335567734
