BNB,BTC,ETH,weighted_positive_score,weighted_neutral_score,weighted_negative_score,total,Date
61.928184509277344,37537.927734375,1656.7221069335938,0.2993471542061866,0.6027283127170935,0.0979245330767199,7705495.0,2021-02-05
70.29411697387695,38702.19921875,1697.8221435546875,0.3588407460704414,0.5657350828342242,0.0754241710953343,16580043.0,2021-02-06
70.7293701171875,39076.81640625,1645.916748046875,0.3789463517827564,0.3959089705044227,0.2251446777128208,12031397.0,2021-02-07
74.17855072021484,42541.646484375,1680.1295166015625,0.5093237270841847,0.3908790542917623,0.0997972186240529,48100078.0,2021-02-08
93.8531494140625,46333.048828125,1757.4805908203125,0.5714241161093832,0.2775345706884237,0.1510413132021932,31872015.0,2021-02-09
118.7228546142578,45693.97265625,1756.1416015625,0.5382057350550525,0.3394759095297935,0.1223183554151539,19512280.0,2021-02-10
126.86974716186523,46404.021484375,1763.756103515625,0.2908283745674961,0.4501746057943454,0.2374212692553625,72051515.5,2021-02-11
130.55391311645508,47690.943359375,1813.5108642578125,0.2908283745674961,0.4501746057943454,0.2374212692553625,72051515.5,2021-02-12
135.19033813476562,47298.359375,1829.04833984375,0.2427629256137293,0.670931322599259,0.0863057517870116,18395935.0,2021-02-13
134.95014190673828,47915.8984375,1809.7282104492188,0.2953215352714633,0.5261537491520789,0.1785247155764577,15828419.0,2021-02-14
132.92233276367188,48320.796875,1792.23388671875,0.3332703108363914,0.4382588481563594,0.2284708410072491,14835972.0,2021-02-15
129.89822387695312,48572.1640625,1780.0065307617188,0.2908283745674961,0.4501746057943454,0.2374212692553625,72051515.5,2021-02-16
147.3751220703125,50678.142578125,1814.9041748046875,0.2908283745674961,0.4501746057943454,0.2374212692553625,72051515.5,2021-02-17
180.4757308959961,51910.384765625,1892.8277587890625,0.4835535538851903,0.3989673636534872,0.1174790824613224,15061643.0,2021-02-18
264.30194091796875,53782.056640625,1949.5123291015625,0.455082787808822,0.4208270645082703,0.1240901476829076,26450996.0,2021-02-19
294.43609619140625,55993.427734375,1939.718505859375,0.2908283745674961,0.4501746057943454,0.2374212692553625,72051515.5,2021-02-20
274.23143005371094,56804.255859375,1927.1370849609373,0.2908283745674961,0.4501746057943454,0.2374212692553625,72051515.5,2021-02-21
281.0610809326172,55870.029296875,1858.775390625,0.4692183578518574,0.4134837084622718,0.1172979336858708,23550969.0,2021-02-22
249.17932891845703,51514.677734375,1675.8065185546875,0.2908283745674961,0.4501746057943454,0.2374212692553625,72051515.5,2021-02-23
242.74036407470703,49270.208984375,1599.0260620117188,0.2908283745674961,0.4501746057943454,0.2374212692553625,72051515.5,2021-02-24
244.1767807006836,48401.466796875,1550.548828125,0.2908283745674961,0.4501746057943454,0.2374212692553625,72051515.5,2021-02-25
228.4753646850586,46760.11328125,1462.343505859375,0.2908283745674961,0.4501746057943454,0.2374212692553625,72051515.5,2021-02-26
223.61517333984372,46266.61328125,1453.4512939453125,0.2908283745674961,0.4501746057943454,0.2374212692553625,72051515.5,2021-02-27
217.51016998291016,45665.892578125,1437.9547119140625,0.4661632881479849,0.4160820349150637,0.1177546769369514,9254401.0,2021-02-28
232.2906188964844,47395.373046875,1490.9293823242188,0.2908283745674961,0.4501746057943454,0.2374212692553625,72051515.5,2021-03-01
247.23794555664065,48995.546875,1528.3361206054688,0.2908283745674961,0.4501746057943454,0.2374212692553625,72051515.5,2021-03-02
240.39017486572263,49477.029296875,1533.6521606445312,0.2908283745674961,0.4501746057943454,0.2374212692553625,72051515.5,2021-03-03
235.4952774047852,49541.736328125,1558.26904296875,0.2908283745674961,0.4501746057943454,0.2374212692553625,72051515.5,2021-03-04
228.1039276123047,48727.16796875,1537.4083862304688,0.2908283745674961,0.4501746057943454,0.2374212692553625,72051515.5,2021-03-05
226.43231201171875,48905.806640625,1593.5571899414062,0.2908283745674961,0.4501746057943454,0.2374212692553625,72051515.5,2021-03-06
233.4259796142578,50062.685546875,1689.2731323242188,0.2908283745674961,0.4501746057943454,0.2374212692553625,72051515.5,2021-03-07
240.2491226196289,51710.3203125,1779.4785766601562,0.2908283745674961,0.4501746057943454,0.2374212692553625,72051515.5,2021-03-08
266.9293518066406,53548.54296875,1851.5984497070312,0.2908283745674961,0.4501746057943454,0.2374212692553625,72051515.5,2021-03-09
286.3909606933594,55416.28125,1833.82763671875,0.2908283745674961,0.4501746057943454,0.2374212692553625,72051515.5,2021-03-10
284.1499481201172,56884.150390625,1812.1144409179688,0.0943450191098081,0.7846830908759604,0.1209718900142314,1300641.0,2021-03-11
276.84246826171875,57576.654296875,1799.3245849609375,0.4900850514903831,0.4273260246532358,0.0825889238563811,16611937.0,2021-03-12
269.8483581542969,59293.228515625,1848.4259033203125,0.2908283745674961,0.4501746057943454,0.2374212692553625,72051515.5,2021-03-13
270.41123962402344,60261.724609375,1889.2140502929688,0.2908283745674961,0.4501746057943454,0.2374212692553625,72051515.5,2021-03-14
259.36216735839844,57587.314453125,1822.894470214844,0.2908283745674961,0.4501746057943454,0.2374212692553625,72051515.5,2021-03-15
256.2755584716797,56322.84375,1799.6928100585938,0.2908283745674961,0.4501746057943454,0.2374212692553625,72051515.5,2021-03-16
264.120361328125,57848.361328125,1815.2527465820312,0.2908283745674961,0.4501746057943454,0.2374212692553625,72051515.5,2021-03-17
265.6713256835937,58376.0,1803.006774902344,0.2908283745674961,0.4501746057943454,0.2374212692553625,72051515.5,2021-03-18
262.84393310546875,58098.546875,1800.096435546875,0.2908283745674961,0.4501746057943454,0.2374212692553625,72051515.5,2021-03-19
