,0
0,2854542399.3216114
1,3057188675.500251
2,3221979763.1693764
3,3301446639.68054
4,3502312646.042228
5,3618105225.4086156
6,3303366773.208907
7,3159477683.7414136
8,3333293466.063015
9,3394503838.7771826
10,3362303769.4407005
11,3388386708.907229
12,3341138032.388918
13,3125599490.215872
14,2971050679.9097486
15,2875452162.052317
16,2714187812.9249063
17,2840202990.493251
18,3073310974.253653
19,3118433040.464062
20,3218340924.8118525
21,3388644456.1145916
22,3457470213.7322607
23,3467385608.130636
24,3494206299.394525
25,3407297644.80707
26,3369799635.483933
27,3454249157.8184853
28,3426608085.6836267
29,3245247839.508323
30,3255682332.579412
31,3378358140.714205
32,3463892849.1574407
33,3581959262.6684995
34,3580713607.3324094
35,3782740920.925629
36,3986443429.33443
37,3971480537.2772083
38,3874406772.3917165
39,3712961597.833148
40,3396762981.8234906
41,3110769940.97156
42,3122368226.719059
43,3023062986.9391656
44,2767902673.3555317
45,2623132227.295126
46,2539451693.6648126
47,2432861886.533509
48,2636837805.115749
49,2952383080.356376
50,2995920362.143073
51,2916554325.8126707
52,3075011712.524515
53,3314490783.848669
54,3252459872.447684
55,3216243615.783504
56,3033685434.0783997
57,3041465972.3976345
58,3219065279.4040384
59,3215585827.809723
60,3353591079.8620157
61,3409815961.689771
62,3236947264.5959015
63,3149229625.8842993
64,2784602518.0061364
65,2456069627.9245396
66,2462224983.4370146
67,2317634964.2388377
68,2153700531.013144
69,2006323729.7753243
70,1850171530.9865255
71,1583405894.2124434
72,1489535063.1629217
73,1503887793.3805428
74,-9961044.770608198
75,1223089.4768559113
76,1324977638.6392002
77,2754965.958604753
78,1481141845.7586982
79,3272749.503960436
80,1347049522.0655627
81,1637507.4092080817
82,1210927097.5559883
83,2301183.7877805457
84,1341950055.4294934
85,2727072.8276889026
86,1444273628.8943202
87,3115533.961310588
88,1280156910.212146
89,2734941.297067918
90,1175327488.4332554
91,2318296.40393883
92,1225161732.0036693
93,2267640.7115598023
94,1340981695.8936193
95,1689023.2480609342
96,1365565129.1334136
97,2206160.1097861975
98,1601768274.5910983
99,1982790.0091851056
